caldt,vwretd
20/12/1966,-0.003624
21/12/1966,0.005479
22/12/1966,0.003997
23/12/1966,-0.002211
27/12/1966,-0.005160
28/12/1966,-0.004620
29/12/1966,-0.003530
30/12/1966,-0.000556
03/01/1967,0.000953
04/01/1967,0.001735
05/01/1967,0.013056
06/01/1967,0.007444
09/01/1967,0.008708
10/01/1967,0.000210
11/01/1967,0.008471
12/01/1967,0.005980
13/01/1967,0.006896
16/01/1967,-0.001745
17/01/1967,0.011321
18/01/1967,0.005266
19/01/1967,0.000762
20/01/1967,0.003961
23/01/1967,0.003518
24/01/1967,0.002213
25/01/1967,-0.006591
26/01/1967,0.000528
27/01/1967,0.004829
30/01/1967,0.005636
31/01/1967,-0.000678
01/02/1967,-0.001304
02/02/1967,0.003521
03/02/1967,0.007219
06/02/1967,-0.001309
07/02/1967,-0.001643
08/02/1967,0.008904
09/02/1967,-0.003716
10/02/1967,0.002763
13/02/1967,0.001515
14/02/1967,0.007408
15/02/1967,0.000698
16/02/1967,-0.004049
17/02/1967,0.000321
20/02/1967,-0.004769
21/02/1967,0.000161
23/02/1967,0.001476
24/02/1967,0.000930
27/02/1967,-0.010845
28/02/1967,0.003874
01/03/1967,0.009989
02/03/1967,0.005366
03/03/1967,0.001747
06/03/1967,-0.001128
07/03/1967,0.001658
08/03/1967,0.001805
09/03/1967,0.002922
10/03/1967,0.003786
13/03/1967,-0.004797
14/03/1967,-0.000871
15/03/1967,0.008821
16/03/1967,0.009062
17/03/1967,0.001622
20/03/1967,-0.000094
21/03/1967,-0.002647
22/03/1967,0.002820
23/03/1967,0.006916
27/03/1967,-0.000327
28/03/1967,0.001198
29/03/1967,-0.001048
30/03/1967,0.000630
31/03/1967,-0.004709
03/04/1967,-0.010896
04/04/1967,0.000219
05/04/1967,0.006502
06/04/1967,0.002122
07/04/1967,-0.006065
10/04/1967,-0.012133
11/04/1967,0.007099
12/04/1967,-0.000920
13/04/1967,0.006651
14/04/1967,0.010023
17/04/1967,0.006435
18/04/1967,0.008585
19/04/1967,0.001372
20/04/1967,0.002174
21/04/1967,0.002731
24/04/1967,0.002792
25/04/1967,0.005595
26/04/1967,-0.001028
27/04/1967,0.008192
28/04/1967,0.001672
01/05/1967,-0.000553
02/05/1967,0.000035
03/05/1967,0.002784
04/05/1967,0.003437
05/05/1967,0.001344
08/05/1967,0.002289
09/05/1967,-0.010093
10/05/1967,-0.001164
11/05/1967,0.004901
12/05/1967,-0.001839
15/05/1967,-0.007075
16/05/1967,0.005055
17/05/1967,-0.002472
18/05/1967,-0.001778
19/05/1967,-0.003806
22/05/1967,-0.002996
23/05/1967,-0.004028
24/05/1967,-0.011697
25/05/1967,0.009719
26/05/1967,-0.000990
29/05/1967,-0.004639
31/05/1967,-0.016292
01/06/1967,0.011922
02/06/1967,-0.003651
05/06/1967,-0.016203
06/06/1967,0.020335
07/06/1967,0.008412
08/06/1967,0.005713
09/06/1967,0.002749
12/06/1967,0.006573
13/06/1967,0.006015
14/06/1967,-0.001644
15/06/1967,0.001901
16/06/1967,0.000580
